startDate,endDate,value,sourceName,device
2019-10-30 23:30:00 -0500,2019-10-31 06:45:24 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-01 00:00:00 -0500,2019-11-01 06:30:20 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-02 00:00:00 -0500,2019-11-02 08:00:13 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-03 04:51:24 -0500,2019-11-03 09:01:48 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-03 23:44:12 -0500,2019-11-04 07:15:32 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-04 07:15:36 -0500,2019-11-04 07:24:44 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-05 00:19:28 -0500,2019-11-05 07:31:46 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-05 22:01:00 -0500,2019-11-06 06:40:18 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-07 00:15:48 -0500,2019-11-07 06:20:12 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-07 06:20:16 -0500,2019-11-07 07:30:23 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-08 00:20:16 -0500,2019-11-08 07:30:55 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-09 01:30:00 -0500,2019-11-09 07:30:48 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-10 05:22:32 -0500,2019-11-10 07:39:53 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-10 23:31:24 -0500,2019-11-11 06:30:28 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-12 01:02:00 -0500,2019-11-12 07:30:23 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-12 23:31:12 -0500,2019-11-13 07:31:33 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-16 02:21:30 -0500,2019-11-16 09:30:20 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-17 02:41:40 -0500,2019-11-17 08:30:25 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-24 23:58:16 -0500,2019-11-25 07:30:36 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-26 00:41:20 -0500,2019-11-26 07:31:25 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-29 00:49:21 -0500,2019-11-29 07:40:00 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-11-30 01:00:00 -0500,2019-11-30 09:31:48 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-02 03:16:36 -0500,2019-12-02 06:38:40 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-02 06:39:08 -0500,2019-12-02 06:39:12 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-02 06:39:28 -0500,2019-12-02 07:30:16 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
2019-12-02 07:30:24 -0500,2019-12-02 07:55:08 -0500,HKCategoryValueSleepAnalysisInBed,Clock,"<<HKDevice: 0x7463ba700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone9,4, software:12.4, creation date:2019-08-02 17:28:18 +0000>"
